experiment,cluster,round,elo
P2_share_middle,positional,240,1125
P2_share_middle,positional,250,1000
P2_share_middle,positional,260,925
P2_share_middle,positional,270,1100
P2_share_middle,positional,280,1100
P2_share_middle,positional,290,1000
P2_share_middle,positional,300,1050
P2_share_middle,positional,310,1200
P2_share_middle,positional,320,1100
P2_share_middle,positional,330,1075
P2_share_middle,positional,340,1125
P2_share_middle,positional,350,1125
P3_share_late,tactical,10,800
P3_share_late,tactical,20,800
P3_share_late,tactical,30,800
P3_share_late,tactical,40,800
P3_share_late,tactical,50,800
P3_share_late,tactical,60,800
P3_share_late,tactical,70,900
P3_share_late,tactical,80,850
P3_share_late,tactical,90,800
P3_share_late,tactical,100,800
P3_share_late,tactical,110,900
P3_share_late,tactical,120,975
P3_share_late,tactical,130,800
P3_share_late,tactical,140,800
P3_share_late,tactical,150,875
P3_share_late,tactical,160,800
P3_share_late,tactical,170,1000
P3_share_late,tactical,180,1025
P3_share_late,tactical,190,875
P3_share_late,tactical,200,900
P3_share_late,tactical,210,925
P3_share_late,tactical,220,875
P3_share_late,tactical,230,1100
P3_share_late,tactical,240,825
P3_share_late,tactical,250,875
P3_share_late,tactical,260,1000
P3_share_late,tactical,270,1100
P3_share_late,tactical,280,1125
P3_share_late,tactical,290,950
P3_share_late,tactical,300,1050
P3_share_late,tactical,310,1050
P3_share_late,tactical,320,800
P3_share_late,tactical,330,1000
P3_share_late,tactical,340,975
P3_share_late,tactical,350,1050
P3_share_late,positional,10,800
P3_share_late,positional,20,800
P3_share_late,positional,30,800
P3_share_late,positional,40,800
